rsID,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,Gene,traitName,efoTraits,bgTraits,accessionId,locations,pubmedId,author,Chromosome,Position
rs10800309-?,3.9999999999999997e-25,(EA),NR,-,,-,"FCGR2A,RNU6-481P",Ulcerative colitis,ulcerative colitis,-,GCST003045,1:161502368,26192919,Liu JZ,1,161502368.0
rs4456788-?,6e-25,(subset analysis),NR,-,,-,GATD3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,21:44196441,26974007,Ellinghaus D,21,44196441.0
rs4380874-A,6e-25,(EA),0.4093,1.1398237,,[1.11-1.16],"PIGCP2,DLD",Ulcerative colitis,ulcerative colitis,-,GCST003045,7:107839870,26192919,Liu JZ,7,107839870.0
rs67025039-?,8.999999999999998e-25,(subset analysis),NR,-,,-,-,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,-,26974007,Ellinghaus D,-,
rs4921482-?,8.999999999999998e-25,(subset analysis),NR,-,,-,"IL12B,LINC01845","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:159337470,26974007,Ellinghaus D,5,159337470.0
rs3806308-?,1.0000000000000001e-24,(subset analysis),NR,-,,-,RNF186-AS1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:19816373,26974007,Ellinghaus D,1,19816373.0
rs10889676-?,2.0000000000000002e-24,(subset analysis),NR,-,,-,IL23R,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:67256884,26974007,Ellinghaus D,1,67256884.0
rs35730213-?,2.0000000000000002e-24,-,NR,-,0.1529,[0.12-0.18],INAVA,Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:200905101,37156999,Liu Z,1,200905101.0
rs6693105-?,4.0000000000000004e-24,(subset analysis),NR,-,,-,"LCE3B,LCE3A","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:152618187,26974007,Ellinghaus D,1,152618187.0
rs10799591-?,5e-24,-,NR,0.74282116,,-,"OTUD3,RNF186-AS1",Ulcerative colitis,ulcerative colitis,-,GCST90446795,1:19878925,37156999,Liu Z,1,19878925.0
rs56167332-?,1.0000000000000001e-23,-,NR,-,,-,"IL12B,LINC01845",Ulcerative colitis,ulcerative colitis,-,GCST004133,5:159400761,28067908,de Lange KM,5,159400761.0
rs7608910-G,1.0000000000000001e-23,(EA),0.3909,1.1355296,,[1.11-1.16],PUS10,Ulcerative colitis,ulcerative colitis,-,GCST003045,2:60977721,26192919,Liu JZ,2,60977721.0
rs1260326-?,2.0000000000000002e-23,(subset analysis),NR,-,,-,GCKR,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:27508073,26974007,Ellinghaus D,2,27508073.0
rs3024505-?,2.0000000000000002e-23,-,NR,-,,-,"IL10,Y_RNA",Ulcerative colitis,ulcerative colitis,-,GCST004133,1:206766559,28067908,de Lange KM,1,206766559.0
rs7608910-?,4.0000000000000004e-23,-,NR,-,,-,PUS10,Ulcerative colitis,ulcerative colitis,-,GCST004133,2:60977721,28067908,de Lange KM,2,60977721.0
rs9268877-?,4.0000000000000004e-23,-,NR,-,,-,HLA-DRB9,Ulcerative colitis,ulcerative colitis,-,GCST000527,6:32463370,19915572,Barrett JC,6,32463370.0
rs2395185-G,9.000000000000001e-23,-,NR,1.49,,[NR],HLA-DRB9,Ulcerative colitis,ulcerative colitis,-,GCST000624,6:32465390,20228799,McGovern DP,6,32465390.0
rs6561151-?,1e-22,(subset analysis),NR,-,,-,NRAD1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,13:43910570,26974007,Ellinghaus D,13,43910570.0
rs71040008-?,2e-22,-,NR,-,0.1263,[0.1-0.15],"EMSY,LINC02757",Ulcerative colitis,ulcerative colitis,-,GCST90446794,11:76587582,37156999,Liu Z,11,76587582.0
rs1250573-?,2e-22,(subset analysis),NR,-,,-,ZMIZ1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:79282718,26974007,Ellinghaus D,10,79282718.0
rs74956615-?,2e-22,(subset analysis),NR,-,,-,RAVER1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,19:10317045,26974007,Ellinghaus D,19,10317045.0
rs2836878-G,2e-22,-,0.74,1.25,,[1.20-1.32],"LINC02940,RPL23AP12",Ulcerative colitis,ulcerative colitis,-,GCST000964,21:39093608,21297633,Anderson CA,21,39093608.0
rs6920220-A,5e-22,(EA),0.2086,1.1582799,,[1.13-1.19],LINC03004,Ulcerative colitis,ulcerative colitis,-,GCST003045,6:137685367,26192919,Liu JZ,6,137685367.0
rs2395185-G,5e-22,-,0.61,1.92,,[1.68-2.19],HLA-DRB9,Ulcerative colitis,ulcerative colitis,-,GCST000529,6:32465390,19915573,Asano K,6,32465390.0
rs4654925-G,9e-22,-,0.52,1.41,,[1.30-1.54],OTUD3,Ulcerative colitis,ulcerative colitis,-,GCST000623,1:19901230,20228798,Franke A,1,19901230.0
rs4946717-?,1e-21,(subset analysis),NR,-,,-,PRDM1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,6:106026874,26974007,Ellinghaus D,6,106026874.0
rs6871626-A,1e-21,-,0.33,1.17,,[1.12-1.22],"LINC01845,IL12B",Ulcerative colitis,ulcerative colitis,-,GCST000964,5:159399784,21297633,Anderson CA,5,159399784.0
rs6466198-?,1e-21,(subset analysis),NR,-,,-,"DLD,PIGCP2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,7:107839681,26974007,Ellinghaus D,7,107839681.0
rs4409764-?,2e-21,-,NR,-,,-,LINC01475,Ulcerative colitis,ulcerative colitis,-,GCST004133,10:99524480,28067908,de Lange KM,10,99524480.0
rs6426833-A,2e-21,-,NR,1.3,,[NR],"RNF186-AS1,OTUD3",Ulcerative colitis,ulcerative colitis,-,GCST000624,1:19845367,20228799,McGovern DP,1,19845367.0
rs2910686-?,2e-21,(subset analysis),NR,-,,-,ERAP2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:96916885,26974007,Ellinghaus D,5,96916885.0
rs9889296-?,5e-21,(subset analysis),NR,-,,-,"CCL2,LINC01989","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,17:34243528,26974007,Ellinghaus D,17,34243528.0
rs9611131-?,5e-21,-,NR,-,0.1747,[0.14-0.21],"PDGFB,RPL3",Ulcerative colitis,ulcerative colitis,-,GCST90446794,22:39266475,37156999,Liu Z,22,39266475.0
rs6584283-T,8e-21,-,0.47,1.21,,[1.16-1.26],LINC01475,Ulcerative colitis,ulcerative colitis,-,GCST000964,10:99530544,21297633,Anderson CA,10,99530544.0
rs2155219-A,8e-21,(EA),0.4994,1.1254078,,[1.1-1.15],"EMSY,LINC02757",Ulcerative colitis,ulcerative colitis,-,GCST003045,11:76588150,26192919,Liu JZ,11,76588150.0
rs4380874-?,9e-21,-,NR,-,,-,"PIGCP2,DLD",Ulcerative colitis,ulcerative colitis,-,GCST004133,7:107839870,28067908,de Lange KM,7,107839870.0
rs7426056-?,1e-20,(subset analysis),NR,-,,-,"CD28,KRT18P39","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:203747335,26974007,Ellinghaus D,2,203747335.0
rs6017342-C,1e-20,-,0.54,1.2,,[1.15-1.26],LINC01620,Ulcerative colitis,ulcerative colitis,-,GCST000964,20:44436388,21297633,Anderson CA,20,44436388.0
rs1801274-A,2e-20,-,0.51,1.21,,[1.16-1.26],FCGR2A,Ulcerative colitis,ulcerative colitis,-,GCST000964,1:161509955,21297633,Anderson CA,1,161509955.0
rs10761659-G,2e-20,(EA),0.54,1.1244732,,-,"ALDH7A1P4,LINC02929",Ulcerative colitis,ulcerative colitis,-,GCST003045,10:62685804,26192919,Liu JZ,10,62685804.0
rs661054-?,3e-20,(EA),NR,-,,-,NXPE1,Ulcerative colitis,ulcerative colitis,-,GCST003045,11:114559688,26192919,Liu JZ,11,114559688.0
rs561722-G,4e-20,(EA),0.66,1.1328671,,-,"NXPE2P1,NXPE1",Ulcerative colitis,ulcerative colitis,-,GCST003045,11:114516108,26192919,Liu JZ,11,114516108.0
rs115378818-C,5e-20,-,0.9892,-,0.9209,[0.85-0.99],"TSBP1-AS1,TSBP1",Ulcerative colitis (chronic) (PheCode 555.21),ulcerative colitis,-,GCST90480318,6:32333650,39024449,Verma A,6,32333650.0
rs12601611-?,5e-20,-,NR,-,0.1158,[0.091-0.14],STAT3,Ulcerative colitis,ulcerative colitis,-,GCST90446794,17:42345810,37156999,Liu Z,17,42345810.0
rs59867199-?,7e-20,(subset analysis),NR,-,,-,"IL2,IL21","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,4:122531076,26974007,Ellinghaus D,4,122531076.0
rs3197999-?,8e-20,-,NR,-,,-,MST1,Ulcerative colitis,ulcerative colitis,-,GCST004133,3:49684099,28067908,de Lange KM,3,49684099.0
rs4655215-?,8e-20,(subset analysis),NR,-,,-,"RNF186,TMCO4","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:19811221,26974007,Ellinghaus D,1,19811221.0
rs75900472-?,1e-19,-,NR,-,,-,"HNRNPA1P41,JAK2",Ulcerative colitis,ulcerative colitis,-,GCST004133,9:4981601,28067908,de Lange KM,9,4981601.0
rs34119476-?,2e-19,-,NR,-,0.1043,[0.082-0.127],"PLCL1,RNU7-147P",Ulcerative colitis,ulcerative colitis,-,GCST90446794,2:198719455,37156999,Liu Z,2,198719455.0
rs10775412-?,3e-19,(subset analysis),NR,-,,-,KSR1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,17:27542007,26974007,Ellinghaus D,17,27542007.0
rs10781499-A,3e-19,-,0.41,1.12,,[1.08-1.17],CARD9,Ulcerative colitis,ulcerative colitis,-,GCST000964,9:136371953,21297633,Anderson CA,9,136371953.0
rs1551399-?,4e-19,(subset analysis),NR,-,,-,TRIB1AL,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,8:125527723,26974007,Ellinghaus D,8,125527723.0
rs16940202-C,6e-19,-,0.18,1.15,,[1.10-1.21],"LINC01082,LINC02132",Ulcerative colitis,ulcerative colitis,-,GCST000964,16:85980635,21297633,Anderson CA,16,85980635.0
rs6933404-?,8e-19,-,NR,-,0.1381,[0.11-0.17],"BTF3L4P3,LINC03004",Ulcerative colitis,ulcerative colitis,-,GCST90446794,6:137638098,37156999,Liu Z,6,137638098.0
rs2816958-G,1e-18,(EA),0.89,1.1982042,,-,NR5A2,Ulcerative colitis,ulcerative colitis,-,GCST003045,1:200132792,26192919,Liu JZ,1,200132792.0
rs4845604-G,1e-18,(EA),0.85,1.1778549,,-,RORC,Ulcerative colitis,ulcerative colitis,-,GCST003045,1:151829204,26192919,Liu JZ,1,151829204.0
rs9271366-G,1e-18,-,0.11,2.1,,[1.78-2.48],"HLA-DRB1,HLA-DQA1",Ulcerative colitis,ulcerative colitis,-,GCST001938,6:32619077,23511034,Yang SK,6,32619077.0
rs6466198-?,1e-18,(EA),NR,-,,-,"DLD,PIGCP2",Ulcerative colitis,ulcerative colitis,-,GCST003045,7:107839681,26192919,Liu JZ,7,107839681.0
rs1801274-?,2e-18,-,NR,-,,-,FCGR2A,Ulcerative colitis,ulcerative colitis,-,GCST004133,1:161509955,28067908,de Lange KM,1,161509955.0
rs3774937-?,2e-18,(subset analysis),NR,-,,-,NFKB1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,4:102513096,26974007,Ellinghaus D,4,102513096.0
rs3812565-?,2e-18,-,NR,-,0.1052,[0.082-0.129],SNAPC4,Ulcerative colitis,ulcerative colitis,-,GCST90446794,9:136378050,37156999,Liu Z,9,136378050.0
rs2024092-?,2e-18,(subset analysis),NR,-,,-,SBNO2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,19:1124032,26974007,Ellinghaus D,19,1124032.0
rs10761659-?,3e-18,-,NR,-,0.103,[0.08-0.126],"ALDH7A1P4,LINC02929",Ulcerative colitis,ulcerative colitis,-,GCST90446794,10:62685804,37156999,Liu Z,10,62685804.0
rs28550029-?,3e-18,(subset analysis),NR,-,,-,SKAP2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,7:26832962,26974007,Ellinghaus D,7,26832962.0
rs6426833-?,3e-18,-,NR,-,0.053,NR,"RNF186-AS1,OTUD3",Crohn's disease vs ulcerative colitis (ordinary least squares (OLS)),"ulcerative colitis,Crohn's disease",-,GCST90016611,1:19845367,33686288,Peyrot WJ,1,19845367.0
rs13407913-?,3e-18,(subset analysis),NR,-,,-,ADCY3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:24874775,26974007,Ellinghaus D,2,24874775.0
rs3749171-A,4e-18,(EA),0.1806,1.1533448,,[1.12-1.19],GPR35,Ulcerative colitis,ulcerative colitis,-,GCST003045,2:240630275,26192919,Liu JZ,2,240630275.0
rs7277261-?,4e-18,-,NR,-,0.1184,[0.092-0.145],"LINC02920,CYCSP42",Ulcerative colitis,ulcerative colitis,-,GCST90446794,21:15448734,37156999,Liu Z,21,15448734.0
rs10737481-G,5e-18,-,NR,-,0.1682,[0.13-0.21],"RNF186-AS1,OTUD3",Ulcerative colitis,ulcerative colitis,-,GCST90018933,1:19845021,34594039,Sakaue S,1,19845021.0
rs9268877-T,6e-18, ,0.45,1.45,,[1.33-1.58],HLA-DRB9,Ulcerative colitis,ulcerative colitis,-,GCST000243,6:32463370,18836448,Franke A,6,32463370.0
rs1000113-?,6e-18,-,NR,-,0.144,[0.11-0.18],IRGM,Ulcerative colitis,ulcerative colitis,-,GCST90446794,5:150860514,37156999,Liu Z,5,150860514.0
rs925255-?,8e-18,(subset analysis),NR,-,,-,FOSL2-AS1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:28391927,26974007,Ellinghaus D,2,28391927.0
rs225131-?,9e-18,-,NR,-,0.1168,[0.09-0.143],ERRFI1-DT,Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:8035426,37156999,Liu Z,1,8035426.0
rs4129267-?,9e-18,(subset analysis),NR,-,,-,IL6R,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:154453788,26974007,Ellinghaus D,1,154453788.0
rs5771192-?,1e-17,-,NR,-,0.1014,[0.078-0.125],IL17REL,Ulcerative colitis,ulcerative colitis,-,GCST90446794,22:50003556,37156999,Liu Z,22,50003556.0
rs2328530-?,1e-17,(subset analysis),NR,-,,-,CDKAL1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,6:20643496,26974007,Ellinghaus D,6,20643496.0
rs1977160-?,1e-17,-,NR,-,0.052,NR,"IL23R,C1orf141",Crohn's disease vs ulcerative colitis (ordinary least squares (OLS)),"ulcerative colitis,Crohn's disease",-,GCST90016611,1:67202253,33686288,Peyrot WJ,1,67202253.0
rs679574-?,1e-17,(subset analysis),NR,-,,-,FUT2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,19:48702851,26974007,Ellinghaus D,19,48702851.0
rs6425143-?,1e-17,(subset analysis),NR,-,,-,"AIMP1P2,SLC25A38P1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:172875212,26974007,Ellinghaus D,1,172875212.0
rs4676408-?,1e-17,-,NR,-,,-,"GPR35,AQP12B",Ulcerative colitis,ulcerative colitis,-,GCST004133,2:240634984,28067908,de Lange KM,2,240634984.0
rs6651252-?,2e-17,(subset analysis),NR,-,,-,LINC00824,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,8:128554935,26974007,Ellinghaus D,8,128554935.0
rs11624293-?,2e-17,(subset analysis),NR,-,,-,LINC01147,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,14:88022477,26974007,Ellinghaus D,14,88022477.0
rs9822268-A,2e-17,-,0.3,1.21,,[1.16-1.26],APEH,Ulcerative colitis,ulcerative colitis,-,GCST000964,3:49682296,21297633,Anderson CA,3,49682296.0
rs2816958-G,2e-17,-,0.887,1.23,,[1.161-1.302],NR5A2,Ulcerative colitis,ulcerative colitis,-,GCST001728,1:200132792,23128233,Jostins L,1,200132792.0
rs3757387-?,2e-17,-,NR,-,0.1038,[0.08-0.128],"IRF5,KCP",Ulcerative colitis,ulcerative colitis,-,GCST90446794,7:128936032,37156999,Liu Z,7,128936032.0
rs1860545-?,3e-17,(subset analysis),NR,-,,-,TNFRSF1A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,12:6337611,26974007,Ellinghaus D,12,6337611.0
rs17229679-?,3e-17,(subset analysis),NR,-,,-,"RNU7-147P,PLCL1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:198696033,26974007,Ellinghaus D,2,198696033.0
rs12987977-?,3e-17,(subset analysis),NR,-,,-,IL18R1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:102358876,26974007,Ellinghaus D,2,102358876.0
rs3792108-?,4e-17,-,NR,-,0.051,NR,ATG16L1,Crohn's disease vs ulcerative colitis (ordinary least squares (OLS)),"ulcerative colitis,Crohn's disease",-,GCST90016611,2:233276306,33686288,Peyrot WJ,2,233276306.0
